"","year","Estado","Municipio","Total","mun_ID"
"1",2000,NA,"Total",97483412,NA
"2",2000,"01 Aguascalientes","Asientos",37763,"1002"
"3",2000,"01 Aguascalientes","Calvillo",51291,"1003"
"4",2000,"01 Aguascalientes","Cosío",12619,"1004"
"5",2000,"01 Aguascalientes","Jesús María",64097,"1005"
"6",2000,"01 Aguascalientes","Pabellón de Arteaga",34296,"1006"
"7",2000,"01 Aguascalientes","Rincón de Romos",41655,"1007"
"8",2000,"01 Aguascalientes","San José de Gracia",7244,"1008"
"9",2000,"01 Aguascalientes","Tepezalá",16508,"1009"
"10",2000,"01 Aguascalientes","El Llano",15327,"1010"
"11",2000,"01 Aguascalientes","San Francisco de los Romo",20066,"1011"
"12",2000,"02 Baja California","Baja California",2487367,"2000"
"13",2000,"02 Baja California","Ensenada",370730,"2001"
"14",2000,"02 Baja California","Mexicali",764602,"2002"
"15",2000,"02 Baja California","Tecate",77795,"2003"
"16",2000,"02 Baja California","Tijuana",1210820,"2004"
"17",2000,"02 Baja California","Playas de Rosarito",63420,"2005"
"18",2000,"03 Baja California Sur","Baja California Sur",424041,"3000"
"19",2000,"03 Baja California Sur","Comondú",63864,"3001"
"20",2000,"03 Baja California Sur","Mulegé",45989,"3002"
"21",2000,"03 Baja California Sur","La Paz",196907,"3003"
"22",2000,"03 Baja California Sur","Los Cabos",105469,"3008"
"23",2000,"03 Baja California Sur","Loreto",11812,"3009"
"24",2000,"04 Campeche","Calkiní",46899,"4001"
"25",2000,"04 Campeche","Carmen",172076,"4003"
"26",2000,"04 Campeche","Champotón",70554,"4004"
"27",2000,"04 Campeche","Hecelchakán",24889,"4005"
"28",2000,"04 Campeche","Hopelchén",31214,"4006"
"29",2000,"04 Campeche","Palizada",8401,"4007"
"30",2000,"04 Campeche","Tenabo",8400,"4008"
"31",2000,"04 Campeche","Escárcega",50563,"4009"
"32",2000,"04 Campeche","Calakmul",23115,"4010"
"33",2000,"04 Campeche","Candelaria",37681,"4011"
"34",2000,"05 Coahuila de Zaragoza","Coahuila de Zaragoza",2298070,"5000"
"35",2000,"05 Coahuila de Zaragoza","Abasolo",1126,"5001"
"36",2000,"05 Coahuila de Zaragoza","Acuña",110487,"5002"
"37",2000,"05 Coahuila de Zaragoza","Allende",20943,"5003"
"38",2000,"05 Coahuila de Zaragoza","Arteaga",19374,"5004"
"39",2000,"05 Coahuila de Zaragoza","Candela",1677,"5005"
"40",2000,"05 Coahuila de Zaragoza","Castaños",22530,"5006"
"41",2000,NA,"Cuatrociénegas",12154,NA
"42",2000,"05 Coahuila de Zaragoza","Escobedo",2784,"5008"
"43",2000,"05 Coahuila de Zaragoza","Francisco I. Madero",46452,"5009"
"44",2000,"05 Coahuila de Zaragoza","Frontera",66579,"5010"
"45",2000,"05 Coahuila de Zaragoza","General Cepeda",11316,"5011"
"46",2000,"05 Coahuila de Zaragoza","Guerrero",2050,"5012"
"47",2000,"05 Coahuila de Zaragoza","Hidalgo",1441,"5013"
"48",2000,"05 Coahuila de Zaragoza","Jiménez",9724,"5014"
"49",2000,"05 Coahuila de Zaragoza","Juárez",1610,"5015"
"50",2000,"05 Coahuila de Zaragoza","Lamadrid",1781,"5016"
"51",2000,"05 Coahuila de Zaragoza","Matamoros",92029,"5017"
"52",2000,"05 Coahuila de Zaragoza","Monclova",193744,"5018"
"53",2000,"05 Coahuila de Zaragoza","Morelos",7263,"5019"
"54",2000,"05 Coahuila de Zaragoza","Múzquiz",62773,"5020"
"55",2000,"05 Coahuila de Zaragoza","Nadadores",5946,"5021"
"56",2000,"05 Coahuila de Zaragoza","Nava",23019,"5022"
"57",2000,"05 Coahuila de Zaragoza","Ocampo",12053,"5023"
"58",2000,"05 Coahuila de Zaragoza","Parras",43339,"5024"
"59",2000,"05 Coahuila de Zaragoza","Piedras Negras",128130,"5025"
"60",2000,"05 Coahuila de Zaragoza","Progreso",3608,"5026"
"61",2000,"05 Coahuila de Zaragoza","Ramos Arizpe",39853,"5027"
"62",2000,"05 Coahuila de Zaragoza","Sabinas",52379,"5028"
"63",2000,"05 Coahuila de Zaragoza","Sacramento",2006,"5029"
"64",2000,"05 Coahuila de Zaragoza","Saltillo",578046,"5030"
"65",2000,"05 Coahuila de Zaragoza","San Buenaventura",20046,"5031"
"66",2000,"05 Coahuila de Zaragoza","San Juan de Sabinas",40138,"5032"
"67",2000,"05 Coahuila de Zaragoza","San Pedro",88343,"5033"
"68",2000,"05 Coahuila de Zaragoza","Sierra Mojada",6023,"5034"
"69",2000,"05 Coahuila de Zaragoza","Torreón",529512,"5035"
"70",2000,"05 Coahuila de Zaragoza","Viesca",18969,"5036"
"71",2000,"05 Coahuila de Zaragoza","Villa Unión",6159,"5037"
"72",2000,"05 Coahuila de Zaragoza","Zaragoza",12664,"5038"
"73",2000,"06 Colima","Armería",28574,"6001"
"74",2000,"06 Colima","Comala",19384,"6003"
"75",2000,"06 Colima","Coquimatlán",18756,"6004"
"76",2000,"06 Colima","Cuauhtémoc",26771,"6005"
"77",2000,"06 Colima","Ixtlahuacán",5478,"6006"
"78",2000,"06 Colima","Manzanillo",125143,"6007"
"79",2000,"06 Colima","Minatitlán",8466,"6008"
"80",2000,"06 Colima","Tecomán",99289,"6009"
"81",2000,NA,"Villa de Alvarez",80808,NA
"82",2000,"07 Chiapas","Chiapas",3920892,"7000"
"83",2000,"07 Chiapas","Acacoyagua",14189,"7001"
"84",2000,"07 Chiapas","Acala",24754,"7002"
"85",2000,"07 Chiapas","Acapetahua",25154,"7003"
"86",2000,"07 Chiapas","Altamirano",21948,"7004"
"87",2000,"07 Chiapas","Amatán",18778,"7005"
"88",2000,"07 Chiapas","Amatenango de la Frontera",26094,"7006"
"89",2000,"07 Chiapas","Amatenango del Valle",6559,"7007"
"90",2000,"07 Chiapas","Angel Albino Corzo",21848,"7008"
"91",2000,"07 Chiapas","Arriaga",37989,"7009"
"92",2000,"07 Chiapas","Bejucal de Ocampo",6673,"7010"
"93",2000,"07 Chiapas","Bella Vista",18205,"7011"
"94",2000,"07 Chiapas","Berriozábal",28719,"7012"
"95",2000,"07 Chiapas","Bochil",22722,"7013"
"96",2000,"07 Chiapas","El Bosque",14993,"7014"
"97",2000,"07 Chiapas","Cacahoatán",39033,"7015"
"98",2000,"07 Chiapas","Catazajá",15709,"7016"
"99",2000,"07 Chiapas","Cintalapa",64013,"7017"
"100",2000,"07 Chiapas","Coapilla",7217,"7018"
"101",2000,"07 Chiapas","Comitán de Domínguez",105210,"7019"
"102",2000,"07 Chiapas","La Concordia",39770,"7020"
